FECHA_CORTE;ANIO;COD_DPTO;NOM_DPTO;NOM_MUSEO;COD_MES;NOM_MES;COD_TIPO;NOM_TIPO;ADU_BOLESPPAGANTES;EST_BOLESPPAGANTES;NIN_BOLESPPAGANTES;MIL_BOLESPPAGANTES;ADM_BOLESPPAGANTES;ADU_PAGANTES;EST_PAGANTES;NIN_PAGANTES;TOTAL_PAGANTES;ADU_BOLESPNOPAGANTES;EST_BOLESPNOPAGANTES;NIN_BOLESPNOPAGANTES;MIL_BOLESPNOPAGANTES;ADM_BOLESPNOPAGANTES;ADU_NOPAGANTES;EST_NOPAGANTES;NIN_NOPAGANTES;TOTAL_NOPAGANTES;TOTAL;TIPO_cat_cod
20260505;2007;01;Amazonas;Zona Arqueológica Monumental Kuélap;01;Enero;0;Nacionales;0;0;0;0;0;224;162;101;487;0;0;0;0;0;0;0;0;0;487;Sitio Arqueológico
20260505;2007;01;Amazonas;Zona Arqueológica Monumental Kuélap;01;Enero;1;Extranjeros;0;0;0;0;0;132;20;4;156;0;0;0;0;0;0;0;0;0;156;Sitio Arqueológico
20260505;2007;01;Amazonas;Zona Arqueológica Monumental Kuélap;02;Febrero;0;Nacionales;0;0;0;0;0;155;101;54;310;0;0;0;0;0;0;0;0;0;310;Sitio Arqueológico
20260505;2007;01;Amazonas;Zona Arqueológica Monumental Kuélap;02;Febrero;1;Extranjeros;0;0;0;0;0;78;44;0;122;0;0;0;0;0;0;0;0;0;122;Sitio Arqueológico
20260505;2007;01;Amazonas;Zona Arqueológica Monumental Kuélap;03;Marzo;0;Nacionales;0;0;0;0;0;123;76;28;227;0;0;0;0;0;0;0;0;0;227;Sitio Arqueológico
20260505;2007;01;Amazonas;Zona Arqueológica Monumental Kuélap;03;Marzo;1;Extranjeros;0;0;0;0;0;161;71;0;232;0;0;0;0;0;0;0;0;0;232;Sitio Arqueológico
20260505;2007;01;Amazonas;Zona Arqueológica Monumental Kuélap;04;Abril;0;Nacionales;0;0;0;0;0;232;116;45;393;0;0;0;0;0;0;0;0;0;393;Sitio Arqueológico
20260505;2007;01;Amazonas;Zona Arqueológica Monumental Kuélap;04;Abril;1;Extranjeros;0;0;0;0;0;152;43;3;198;0;0;0;0;0;0;0;0;0;198;Sitio Arqueológico
20260505;2007;01;Amazonas;Zona Arqueológica Monumental Kuélap;05;Mayo;0;Nacionales;0;0;0;0;0;216;159;33;408;0;0;0;0;0;0;0;0;0;408;Sitio Arqueológico
20260505;2007;01;Amazonas;Zona Arqueológica Monumental Kuélap;05;Mayo;1;Extranjeros;0;0;0;0;0;231;68;3;302;0;0;0;0;0;0;0;0;0;302;Sitio Arqueológico
